address_id,party_id,address_type,line1,city,state_code,postal_code,country_code,is_current
ADDR000001,PTY000001,risk_location,48218 Heather Tunnel,Salazarland,KY,32430,US,True
ADDR000002,PTY000002,risk_location,57400 Samantha Drives Suite 330,Port Chaseburgh,OR,97543,US,True
ADDR000003,PTY000003,business,288 Benjamin Knolls,Andrewstad,MO,80909,US,True
ADDR000004,PTY000004,business,759 Gray Mall,East Garrettville,NE,69621,US,True
ADDR000005,PTY000005,risk_location,081 Thompson Mountains,Lake Andre,GA,59980,US,True
ADDR000006,PTY000006,risk_location,46253 Mitchell Meadows,Riveraberg,WA,07934,US,True
ADDR000007,PTY000007,business,02680 John Bypass Suite 695,North Natashamouth,GA,94413,US,True
ADDR000008,PTY000008,primary,95178 Jill Green,North Vickie,WY,90686,US,True
ADDR000009,PTY000009,risk_location,88198 Kimberly Haven,West Alexandra,NE,20144,US,True
ADDR000010,PTY000010,primary,8639 Ruiz Court Suite 651,Port Maryville,NC,00959,US,True
ADDR000011,PTY000011,business,6721 White Brooks,Lake Amanda,PR,47243,US,True
ADDR000012,PTY000012,billing,5617 Donna Ports,Lozanofurt,NM,17758,US,True
ADDR000013,PTY000013,billing,0412 Montes Drives Suite 878,New Catherineborough,MI,62706,US,True
ADDR000014,PTY000014,risk_location,6370 William Island,East Jamesland,WA,78107,US,True
ADDR000015,PTY000015,primary,63365 Erica Tunnel Suite 777,East Diana,GA,27683,US,True
ADDR000016,PTY000016,risk_location,52896 Stevenson Lodge Suite 753,West Erin,MP,60862,US,True
ADDR000017,PTY000017,billing,240 Lawrence Square,Port Nicholas,HI,66900,US,True
ADDR000018,PTY000018,business,505 Erin Canyon Suite 337,South Deborahmouth,RI,15666,US,True
ADDR000019,PTY000019,primary,2855 Jensen Point,Gonzalezberg,WY,16206,US,True
ADDR000020,PTY000020,billing,82308 Rachel Fort Suite 598,Millerburgh,DE,80978,US,True
ADDR000021,PTY000021,business,64666 Justin Land,Matthewberg,ND,35651,US,True
ADDR000022,PTY000022,billing,7884 Ingram Creek,Heatherview,DE,47676,US,True
ADDR000023,PTY000023,business,54134 Perez Hills Suite 335,Fisherstad,GU,60394,US,True
ADDR000024,PTY000024,risk_location,2562 Floyd Plain,Ashleyfurt,AS,19841,US,True
ADDR000025,PTY000025,business,0810 Alexander Underpass Apt. 045,West Christopher,PA,52267,US,True
ADDR000026,PTY000026,business,6443 Catherine Mountains,Morrisberg,KS,93671,US,True
ADDR000027,PTY000027,primary,898 Valenzuela Turnpike Suite 985,Kaitlynstad,AR,52744,US,True
ADDR000028,PTY000028,billing,814 Stuart Villages Suite 945,West Amy,MI,78544,US,True
ADDR000029,PTY000029,billing,61534 Jesse Lodge,Wellsville,TN,23446,US,True
ADDR000030,PTY000030,business,79108 Underwood Pass,West Daniel,OK,37470,US,True
ADDR000031,PTY000031,business,522 Reyes Expressway Suite 230,Rebeccatown,MI,11731,US,True
ADDR000032,PTY000032,primary,70872 Rhodes Hollow,Sandersburgh,IN,05832,US,True
ADDR000033,PTY000033,business,58925 Thomas Field Apt. 395,Stewartborough,PR,47851,US,True
ADDR000034,PTY000034,primary,659 Christopher Rapids Apt. 707,Howardmouth,VA,37294,US,True
ADDR000035,PTY000035,mailing,360 Kevin Bypass,North Brittanyton,DC,42282,US,True
ADDR000036,PTY000036,billing,36406 William Ford Suite 057,Thomaston,WI,58209,US,True
ADDR000037,PTY000037,business,0310 Jacqueline Crest Apt. 127,Grahamville,ID,67273,US,True
ADDR000038,PTY000038,risk_location,2938 Erin Shores Suite 865,Amandaland,WY,17642,US,True
ADDR000039,PTY000039,mailing,550 Reynolds Landing Apt. 067,Walkerport,CA,10584,US,True
ADDR000040,PTY000040,billing,734 Brittany Tunnel,Saundersland,WA,12705,US,True
ADDR000041,PTY000041,primary,39386 Nicole Trail Suite 825,New Aimee,WY,68934,US,True
ADDR000042,PTY000042,billing,28161 Regina Forest,Port Frederick,KS,86623,US,True
ADDR000043,PTY000043,risk_location,460 Megan Plaza,Danielville,MD,94633,US,True
ADDR000044,PTY000044,billing,750 Miller River Apt. 507,North George,PA,22625,US,True
ADDR000045,PTY000045,billing,396 Payne Orchard,New Jason,IA,99257,US,True
ADDR000046,PTY000046,billing,786 Andrea Parkways,Lake Jason,RI,07761,US,True
ADDR000047,PTY000047,primary,2238 Rachel Cliffs,Lake Nathan,WV,55432,US,True
ADDR000048,PTY000048,business,4762 Barnes Pass,Jenniferfort,MP,92037,US,True
ADDR000049,PTY000049,business,737 Cole Cliffs,Scottbury,MN,91173,US,True
ADDR000050,PTY000050,business,0087 Melissa Forest,West Adam,WI,76762,US,True
ADDR000051,PTY000051,business,62834 Morgan Place Apt. 029,West Lisafort,GA,53988,US,True
ADDR000052,PTY000052,risk_location,860 Mary Burg,Mcmillanburgh,IL,67782,US,True
ADDR000053,PTY000053,mailing,89520 Kara Roads Suite 900,Lake Wandaside,NV,12148,US,True
ADDR000054,PTY000054,mailing,126 Ross Plains,New Wandahaven,UT,90807,US,True
ADDR000055,PTY000055,billing,103 Ashley Ranch,North Michelebury,MD,63715,US,True
ADDR000056,PTY000056,billing,23157 Smith Fork Apt. 019,New Pamela,SC,84755,US,True
ADDR000057,PTY000057,mailing,131 Jeffrey Course,Leetown,SC,79091,US,True
ADDR000058,PTY000058,billing,086 Billy Squares Apt. 645,Ronnieborough,KY,34728,US,True
ADDR000059,PTY000059,mailing,8858 Barnett Square,Port David,OK,20909,US,True
ADDR000060,PTY000060,risk_location,98263 Jacob Rapid,Francesville,FL,30442,US,True
ADDR000061,PTY000061,business,66033 Tamara Mission Apt. 588,Davismouth,MT,92667,US,True
ADDR000062,PTY000062,primary,12341 Tucker Junction Apt. 144,Port Robertshire,IN,05570,US,True
ADDR000063,PTY000063,primary,1232 Gary Lake Apt. 924,Williamborough,NJ,24747,US,True
ADDR000064,PTY000064,primary,7015 Williamson Well,Lake Marcofort,NE,85426,US,True
ADDR000065,PTY000065,primary,08167 Ortega Unions,Lake Holly,AK,93178,US,True
ADDR000066,PTY000066,primary,649 Grace Orchard,South Stevenchester,OK,16230,US,True
ADDR000067,PTY000067,business,0953 Joseph Ferry,North Tanya,NJ,79191,US,True
ADDR000068,PTY000068,billing,7331 Olson Club Suite 661,East Joanna,DC,55304,US,True
ADDR000069,PTY000069,primary,918 Jessica Walks,Jacobview,RI,18001,US,True
ADDR000070,PTY000070,business,452 Anderson Cliffs Suite 166,New Tony,WY,31308,US,True
ADDR000071,PTY000071,billing,74518 Rice Club Apt. 267,East John,VI,16864,US,True
ADDR000072,PTY000072,risk_location,378 Ralph Heights Suite 279,Rodriguezborough,HI,04475,US,True
ADDR000073,PTY000073,risk_location,33103 Shannon Stream,Port Paul,OR,10647,US,True
ADDR000074,PTY000074,business,3169 Jennifer Union,East Brenda,ND,70345,US,True
ADDR000075,PTY000075,business,55011 Moore Motorway,Levybury,NY,18404,US,True
ADDR000076,PTY000076,business,07760 Jeremy Mall Suite 311,Brooketown,AS,55629,US,True
ADDR000077,PTY000077,billing,6793 Sarah Fields,Kennedystad,IA,55113,US,True
ADDR000078,PTY000078,business,051 Davis Flat,Christinaton,PW,60583,US,True
ADDR000079,PTY000079,mailing,255 Lance Route,Lake Lydialand,PW,44309,US,True
ADDR000080,PTY000080,mailing,99613 Corey Falls,Jamesfort,SC,15569,US,True
ADDR000081,PTY000081,primary,23334 Schneider Brook,South Benjaminborough,AL,01757,US,True
ADDR000082,PTY000082,mailing,86499 Tyler Divide Suite 289,New Nathanfurt,GU,07412,US,True
ADDR000083,PTY000083,billing,894 White Locks,Lake Jessica,MS,48364,US,True
ADDR000084,PTY000084,business,193 Nathan Lane,Suttonville,KS,94464,US,True
ADDR000085,PTY000085,risk_location,67890 Scott Drive Apt. 976,Williamville,OR,92465,US,True
ADDR000086,PTY000086,primary,31718 James Spur,Julieville,PW,56820,US,True
ADDR000087,PTY000087,business,4653 Christina Row Apt. 603,Wongborough,FM,90739,US,True
ADDR000088,PTY000088,mailing,25117 Patricia Flat,Snyderfort,AS,92988,US,True
ADDR000089,PTY000089,primary,49208 Flores Junctions,Michaelstad,AL,39054,US,True
ADDR000090,PTY000090,risk_location,107 Hill Gateway,Vaughnshire,MP,66698,US,True
ADDR000091,PTY000091,mailing,8321 Andrew Fork,Walkerton,IA,32579,US,True
ADDR000092,PTY000092,billing,1327 Sandy Square,East Stephanie,MA,89729,US,True
ADDR000093,PTY000093,business,049 Austin Place,West Elizabethstad,NY,90702,US,True
ADDR000094,PTY000094,primary,08606 Bullock Square,South Timothy,MN,76088,US,True
ADDR000095,PTY000095,primary,2141 Karen Burg Apt. 295,Burchberg,MH,71867,US,True
ADDR000096,PTY000096,mailing,5902 Thornton Locks Suite 168,Abigailside,LA,91121,US,True
ADDR000097,PTY000097,mailing,2864 Reed Pass,West Ericaland,ID,31864,US,True
ADDR000098,PTY000098,risk_location,291 Courtney Cliffs,South Jamesmouth,MA,86922,US,True
ADDR000099,PTY000099,billing,1398 Travis Groves Suite 421,New Stephen,ME,18821,US,True
ADDR000100,PTY000100,mailing,8882 Melissa Summit Apt. 734,Port Jeremy,NM,89413,US,True
ADDR000101,PTY000101,billing,20390 James Mission,West Justin,TX,98078,US,True
ADDR000102,PTY000102,business,179 Derrick Circle Apt. 514,Oliviafurt,DC,37468,US,True
ADDR000103,PTY000103,risk_location,7409 Clarke Mall Suite 277,Connieport,PW,31709,US,True
ADDR000104,PTY000104,mailing,8207 Michael Branch Suite 346,Michaelside,MO,03204,US,True
ADDR000105,PTY000105,primary,2749 Davis Route,Port Steven,NY,74047,US,True
ADDR000106,PTY000106,billing,0450 Powers Forks,Gonzalezport,VT,24633,US,True
ADDR000107,PTY000107,billing,66714 Anthony Streets,Brewermouth,NJ,55835,US,True
ADDR000108,PTY000108,billing,577 Bush Point,Lake Jeffreyport,DE,54535,US,True
