address_id,party_id,address_type,line1,city,state_code,postal_code,country_code,is_current
ADDR003575,PTY003575,business,8462 New Address Ln,Fairview,MP,76430,US,True
ADDR001653,PTY001653,business,8332 New Address Ln,Fairview,GU,01298,US,True
ADDR001422,PTY001422,mailing,5917 New Address Ln,Salem,AZ,40798,US,True
ADDR001103,PTY001103,mailing,8554 New Address Ln,Springfield,MA,27662,US,True
ADDR003895,PTY003895,risk_location,3815 New Address Ln,Salem,LA,67626,US,True
ADDR002036,PTY002036,billing,7227 New Address Ln,Fairview,KY,02009,US,True
ADDR001413,PTY001413,business,9486 New Address Ln,Springfield,DE,48505,US,True
ADDR002102,PTY002102,business,5633 New Address Ln,Madison,WY,12429,US,True
ADDR001375,PTY001375,billing,6646 New Address Ln,Salem,CO,65516,US,True
ADDR004226,PTY004226,mailing,1449 New Address Ln,Springfield,WI,40546,US,True
ADDR004133,PTY004133,risk_location,7015 New Address Ln,Springfield,WY,68649,US,True
ADDR004451,PTY004451,business,7075 New Address Ln,Georgetown,PW,14467,US,True
ADDR000633,PTY000633,primary,1847 New Address Ln,Springfield,LA,80048,US,True
ADDR001923,PTY001923,risk_location,178 New Address Ln,Fairview,NY,94111,US,True
ADDR001971,PTY001971,risk_location,1543 New Address Ln,Fairview,AR,03875,US,True
ADDR004297,PTY004297,business,4994 New Address Ln,Fairview,KY,67598,US,True
ADDR001858,PTY001858,primary,1976 New Address Ln,Fairview,FL,64085,US,True
ADDR003449,PTY003449,billing,4324 New Address Ln,Madison,MA,40756,US,True
ADDR003240,PTY003240,mailing,5187 New Address Ln,Fairview,GA,21834,US,True
ADDR004296,PTY004296,primary,9192 New Address Ln,Madison,PW,43059,US,True
ADDR004600,PTY004600,mailing,3212 New Address Ln,Springfield,IN,05373,US,True
ADDR000594,PTY000594,primary,1927 New Address Ln,Riverside,AZ,23794,US,True
ADDR001980,PTY001980,primary,511 New Address Ln,Fairview,LA,52547,US,True
ADDR002053,PTY002053,billing,4978 New Address Ln,Georgetown,SC,11840,US,True
ADDR002655,PTY002655,mailing,5585 New Address Ln,Salem,VI,64676,US,True
ADDR004626,PTY004626,business,801 New Address Ln,Georgetown,WI,71611,US,True
ADDR002738,PTY002738,mailing,4197 New Address Ln,Georgetown,WV,72672,US,True
ADDR004061,PTY004061,billing,8984 New Address Ln,Salem,AL,89193,US,True
ADDR001550,PTY001550,primary,5825 New Address Ln,Fairview,HI,77825,US,True
ADDR000795,PTY000795,risk_location,5803 New Address Ln,Fairview,CO,62586,US,True
ADDR000243,PTY000243,primary,804 New Address Ln,Madison,CT,40656,US,True
ADDR000314,PTY000314,mailing,5426 New Address Ln,Madison,NV,58726,US,True
ADDR003578,PTY003578,billing,9165 New Address Ln,Madison,VA,07282,US,True
ADDR000510,PTY000510,billing,3893 New Address Ln,Fairview,CA,59873,US,True
ADDR002583,PTY002583,business,8670 New Address Ln,Salem,WV,57794,US,True
ADDR001554,PTY001554,risk_location,7057 New Address Ln,Madison,PR,46968,US,True
ADDR000410,PTY000410,billing,7902 New Address Ln,Fairview,SC,31943,US,True
ADDR002400,PTY002400,mailing,9991 New Address Ln,Riverside,WI,35088,US,True
ADDR001517,PTY001517,billing,9232 New Address Ln,Fairview,NJ,91569,US,True
ADDR002198,PTY002198,primary,8585 New Address Ln,Salem,UT,58943,US,True
ADDR002089,PTY002089,billing,5125 New Address Ln,Springfield,CO,42886,US,True
ADDR000084,PTY000084,business,368 New Address Ln,Salem,KS,94464,US,True
ADDR004729,PTY004729,risk_location,9823 New Address Ln,Riverside,WY,47120,US,True
ADDR004345,PTY004345,risk_location,2603 New Address Ln,Fairview,NH,58852,US,True
ADDR002420,PTY002420,business,7245 New Address Ln,Springfield,SD,98773,US,True
ADDR001608,PTY001608,business,1219 New Address Ln,Salem,CT,45456,US,True
ADDR002987,PTY002987,billing,5335 New Address Ln,Madison,AK,87583,US,True
ADDR000935,PTY000935,mailing,9243 New Address Ln,Riverside,NM,62516,US,True
ADDR001305,PTY001305,mailing,6046 New Address Ln,Fairview,AZ,82798,US,True
ADDR002823,PTY002823,primary,9169 New Address Ln,Riverside,TX,15158,US,True
ADDR003189,PTY003189,risk_location,1746 New Address Ln,Madison,ND,82173,US,True
ADDR001166,PTY001166,business,9098 New Address Ln,Riverside,NM,82624,US,True
ADDR002500,PTY002500,primary,639 New Address Ln,Madison,DE,68018,US,True
ADDR004349,PTY004349,mailing,5722 New Address Ln,Georgetown,MA,88294,US,True
ADDR002134,PTY002134,primary,3354 New Address Ln,Madison,GA,59948,US,True
ADDR001623,PTY001623,risk_location,2681 New Address Ln,Springfield,VT,68752,US,True
ADDR003707,PTY003707,business,2976 New Address Ln,Madison,AK,92830,US,True
ADDR000457,PTY000457,mailing,1615 New Address Ln,Georgetown,AK,53767,US,True
ADDR000223,PTY000223,primary,6506 New Address Ln,Georgetown,NH,82099,US,True
ADDR002908,PTY002908,primary,9014 New Address Ln,Salem,AZ,29941,US,True
ADDR001898,PTY001898,business,6317 New Address Ln,Riverside,IN,52733,US,True
ADDR001157,PTY001157,business,9801 New Address Ln,Madison,AK,95112,US,True
ADDR004983,PTY004983,business,6282 New Address Ln,Riverside,MP,41829,US,True
ADDR000642,PTY000642,mailing,1821 New Address Ln,Fairview,OH,15907,US,True
ADDR003110,PTY003110,primary,5862 New Address Ln,Fairview,LA,95706,US,True
ADDR000148,PTY000148,business,1134 New Address Ln,Riverside,MH,18501,US,True
ADDR002940,PTY002940,mailing,1715 New Address Ln,Springfield,MS,58973,US,True
ADDR002605,PTY002605,billing,6124 New Address Ln,Georgetown,WI,88344,US,True
ADDR003075,PTY003075,risk_location,5234 New Address Ln,Salem,VT,54724,US,True
ADDR002007,PTY002007,business,3981 New Address Ln,Salem,PR,58431,US,True
ADDR004410,PTY004410,mailing,2135 New Address Ln,Salem,ND,39115,US,True
ADDR001257,PTY001257,mailing,4840 New Address Ln,Riverside,LA,26341,US,True
ADDR000607,PTY000607,risk_location,6781 New Address Ln,Fairview,NV,54621,US,True
ADDR000177,PTY000177,mailing,2309 New Address Ln,Madison,CO,34463,US,True
ADDR000238,PTY000238,mailing,2224 New Address Ln,Riverside,PR,97992,US,True
ADDR001442,PTY001442,mailing,543 New Address Ln,Salem,IA,83059,US,True
ADDR001736,PTY001736,primary,8420 New Address Ln,Salem,AL,06493,US,True
ADDR001820,PTY001820,primary,4396 New Address Ln,Fairview,NV,81959,US,True
ADDR002815,PTY002815,business,4145 New Address Ln,Georgetown,MI,70894,US,True
ADDR002097,PTY002097,risk_location,8679 New Address Ln,Salem,AL,93216,US,True
ADDR000578,PTY000578,billing,2202 New Address Ln,Riverside,ME,67421,US,True
ADDR000007,PTY000007,business,5069 New Address Ln,Georgetown,GA,94413,US,True
ADDR003556,PTY003556,primary,6389 New Address Ln,Springfield,WA,33163,US,True
ADDR000934,PTY000934,primary,5762 New Address Ln,Springfield,RI,71009,US,True
ADDR003571,PTY003571,billing,8160 New Address Ln,Fairview,VA,83089,US,True
ADDR000664,PTY000664,business,7933 New Address Ln,Madison,OH,29692,US,True
ADDR003030,PTY003030,billing,1186 New Address Ln,Georgetown,LA,39718,US,True
ADDR004073,PTY004073,billing,5040 New Address Ln,Fairview,SD,06886,US,True
ADDR003472,PTY003472,billing,8414 New Address Ln,Springfield,UT,03486,US,True
ADDR004574,PTY004574,risk_location,2178 New Address Ln,Georgetown,NH,35088,US,True
ADDR003079,PTY003079,risk_location,1245 New Address Ln,Riverside,GU,33434,US,True
ADDR004582,PTY004582,primary,9299 New Address Ln,Fairview,UT,03574,US,True
ADDR002154,PTY002154,primary,5920 New Address Ln,Madison,IL,27262,US,True
ADDR002680,PTY002680,billing,8875 New Address Ln,Springfield,WA,94980,US,True
ADDR002826,PTY002826,billing,1158 New Address Ln,Springfield,NE,78342,US,True
ADDR000956,PTY000956,primary,3640 New Address Ln,Madison,TN,52226,US,True
ADDR002239,PTY002239,mailing,355 New Address Ln,Georgetown,ME,71771,US,True
ADDR004352,PTY004352,primary,3418 New Address Ln,Madison,ID,12816,US,True
ADDR001995,PTY001995,business,8696 New Address Ln,Georgetown,WI,78351,US,True
ADDR000528,PTY000528,billing,8236 New Address Ln,Madison,AS,81663,US,True
ADDR000273,PTY000273,risk_location,151 New Address Ln,Fairview,AL,75170,US,True
ADDR001800,PTY001800,business,831 New Address Ln,Salem,DC,32889,US,True
ADDR002188,PTY002188,business,3707 New Address Ln,Fairview,MS,07183,US,True
ADDR002672,PTY002672,billing,7168 New Address Ln,Fairview,AR,02074,US,True
