party_id,party_type,display_name,first_name,last_name,organization_name,date_of_birth,email,phone,preferred_contact_method
PTY003787,person,Michelle Cole,Michelle,Cole,,1978-07-31,williamsjessica.d3.d3@example.com,8884638419,mail
PTY000164,organization,Smith and Sons,,,Smith and Sons,,jamesmorales.d3.d3@example.net,+1-319-294-1013x7215,phone
PTY003156,organization,Smith Group,,,Smith Group,,solisdenise.d3.d3@example.net,8105831734,app
PTY000160,person,Melinda Acosta,Melinda,Acosta,,1947-10-13,alyssaallen.d3.d3@example.com,9243103865,email
PTY001642,organization,"Randolph, Smith and York",,,"Randolph, Smith and York",,amy29.d3.d3@example.net,681.892.1474x9847,email
PTY002030,person,David Mahoney,David,Mahoney,,1978-10-06,piercedavid.d3.d3@example.org,817-986-0577,phone
PTY004562,person,Molly Sparks,Molly,Sparks,,1956-12-03,prattjennifer.d3.d3@example.com,536-759-1061,email
PTY003662,person,Joseph Mcintosh,Joseph,Mcintosh,,1995-05-09,ryanannette.d3.d3@example.net,839-404-0808,app
PTY003887,person,Charlotte Brown,Charlotte,Brown,,1951-05-21,ojohnson.d3.d3@example.net,500.471.1064x802,app
PTY003593,person,Michael Carson,Michael,Carson,,1994-01-24,kari76.d3.d3.d3@example.org,001-661-525-1743x4210,email
PTY005262,person,Nicole Williams,Nicole,Williams,,1990-12-04,mramirez.d3.d3@example.org,922-534-7190x5741,mail
PTY002337,person,Matthew Johnson,Matthew,Johnson,,1966-11-11,aprilhernandez.d3.d3@example.org,962-798-6042,sms
PTY002689,person,Christopher Schroeder,Christopher,Schroeder,,1972-04-01,whunter.d3.d3@example.org,(965)801-8005x44027,mail
PTY002170,person,Jerry Murray,Jerry,Murray,,1976-12-22,prestonsheila.d3.d3@example.org,+1-532-629-7254x014,sms
PTY002117,person,Taylor Brown,Taylor,Brown,,1965-03-30,zachary90.d3.d3@example.com,629-496-9915,phone
PTY003385,organization,"Robinson, Ford and Neal",,,"Robinson, Ford and Neal",,mossgary.d3.d3@example.org,8772146502,email
PTY003999,person,Timothy Porter,Timothy,Porter,,1988-10-30,karina29.d3.d3@example.org,(636)555-6441,sms
PTY002874,person,Mary Butler,Mary,Butler,,1975-01-02,qchambers.d3.d3@example.net,+1-783-504-3422x9978,phone
